epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,201.39,0.31619,0.23892,0.8739,0.99725,1,0.995,0.99006,0.26269,0.1749,0.78118,0.000431629,0.000431629,0.000431629
143,203.059,0.32602,0.2391,0.84787,0.96656,0.96078,0.97433,0.8797,0.32276,0.28765,0.82514,0.000424556,0.000424556,0.000424556
144,204.454,0.31984,0.24071,0.85827,0.91111,0.86275,0.87863,0.81049,0.34608,0.36799,0.84799,0.000417482,0.000417482,0.000417482
145,205.81,0.30111,0.23304,0.84804,0.98175,0.94118,0.97142,0.91597,0.30051,0.26143,0.80623,0.000410409,0.000410409,0.000410409
146,207.19,0.3074,0.23607,0.87043,0.99732,1,0.995,0.98353,0.25639,0.16791,0.77916,0.000403335,0.000403335,0.000403335
147,208.584,0.32422,0.25072,0.87774,0.99742,1,0.995,0.98392,0.23938,0.16318,0.77296,0.000396262,0.000396262,0.000396262
148,209.965,0.31979,0.2443,0.86455,0.99737,1,0.995,0.98515,0.24551,0.16598,0.773,0.000389188,0.000389188,0.000389188
149,211.338,0.29452,0.22638,0.87066,0.9974,1,0.995,0.98444,0.24601,0.16745,0.77451,0.000382115,0.000382115,0.000382115
150,212.726,0.30379,0.23282,0.8579,0.99746,1,0.995,0.98314,0.23713,0.15322,0.77654,0.000375041,0.000375041,0.000375041
151,214.117,0.30861,0.2301,0.87405,0.99743,1,0.995,0.98572,0.24261,0.15884,0.77787,0.000367967,0.000367967,0.000367967
152,215.505,0.29221,0.23451,0.84944,0.99752,1,0.995,0.98963,0.2457,0.14998,0.77626,0.000360894,0.000360894,0.000360894
153,217.082,0.30565,0.25075,0.85993,0.99748,1,0.995,0.98816,0.23192,0.16174,0.77101,0.00035382,0.00035382,0.00035382
154,218.422,0.28466,0.22846,0.84487,0.99639,1,0.995,0.98879,0.23726,0.15759,0.77498,0.000346747,0.000346747,0.000346747
155,219.765,0.28987,0.23564,0.84466,0.9964,0.99807,0.995,0.98459,0.24543,0.1689,0.77785,0.000339673,0.000339673,0.000339673
156,221.125,0.30424,0.22852,0.85667,0.99738,1,0.995,0.98757,0.23312,0.16506,0.7734,0.0003326,0.0003326,0.0003326
157,222.462,0.30523,0.23288,0.85677,0.99759,1,0.995,0.98977,0.23609,0.16539,0.77296,0.000325526,0.000325526,0.000325526
158,223.804,0.30005,0.23601,0.85361,0.99767,1,0.995,0.98845,0.22745,0.15406,0.76909,0.000318453,0.000318453,0.000318453
159,225.166,0.279,0.21576,0.84277,0.99757,1,0.995,0.99233,0.22221,0.15388,0.76656,0.000311379,0.000311379,0.000311379
160,226.619,0.31347,0.24313,0.85151,0.99714,1,0.995,0.99155,0.22985,0.15939,0.76787,0.000304306,0.000304306,0.000304306
161,227.987,0.28433,0.2278,0.85871,0.99697,1,0.995,0.99077,0.22228,0.15336,0.76663,0.000297232,0.000297232,0.000297232
162,229.351,0.27373,0.22412,0.84191,0.99709,1,0.995,0.99194,0.22136,0.15778,0.76939,0.000290158,0.000290158,0.000290158
163,230.861,0.28068,0.22217,0.86936,0.99838,1,0.995,0.99179,0.21701,0.15608,0.76989,0.000283085,0.000283085,0.000283085
164,232.246,0.28069,0.23331,0.84931,0.99868,1,0.995,0.98774,0.22618,0.16337,0.77207,0.000276011,0.000276011,0.000276011
165,233.606,0.29692,0.22231,0.85581,0.99751,1,0.995,0.99121,0.22863,0.16601,0.77107,0.000268938,0.000268938,0.000268938
166,234.949,0.28765,0.22129,0.85036,0.99753,1,0.995,0.98836,0.22134,0.16372,0.76928,0.000261864,0.000261864,0.000261864
167,236.306,0.27888,0.21873,0.84747,0.99732,1,0.995,0.98821,0.21908,0.16357,0.76823,0.000254791,0.000254791,0.000254791
168,237.681,0.30309,0.23873,0.86026,0.99694,1,0.995,0.98697,0.22122,0.157,0.76875,0.000247717,0.000247717,0.000247717
169,239.017,0.29264,0.22472,0.85103,0.99715,1,0.995,0.98887,0.22472,0.15011,0.76797,0.000240644,0.000240644,0.000240644
170,240.349,0.27755,0.21623,0.85033,0.99864,1,0.995,0.98895,0.21891,0.14873,0.76557,0.00023357,0.00023357,0.00023357
171,241.702,0.27111,0.215,0.84618,0.99863,1,0.995,0.99225,0.21051,0.14492,0.76204,0.000226497,0.000226497,0.000226497
172,243.235,0.28056,0.20729,0.85587,0.99863,1,0.995,0.99128,0.21258,0.14769,0.76246,0.000219423,0.000219423,0.000219423
173,244.592,0.28627,0.21864,0.86514,0.99866,1,0.995,0.99104,0.21602,0.14725,0.76477,0.000212349,0.000212349,0.000212349
